ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type,External IDs
276883552,"8720 CONROY-WINDERMERE RD, ORLANDO, FL, 32835",CHAIN OF LAKES MIDDLE,28.493385,-81.503194,250,Freedom Fresh,,Normal Geofence,
276885408,"4774 CHAIRES CROSSRDS, TALLAHASSEE, 32317",CHAIRES ELEMENTARY,30.435007,-84.122641,250,Freedom Fresh,,Normal Geofence,
276885409,"110 MASTERS DR, ST AUGUSTINE, 32084-3133",CHARISMATIC ORTHODOX CH,29.902722,-81.332498,250,Freedom Fresh,,Normal Geofence,
276883553,"2000 N FORSYTH RD, ORLANDO, FL, 32807",CHENEY ELEMENTARY,28.572985,-81.296174,250,Freedom Fresh,,Normal Geofence,
276883554,"6900 AUTUMNVALE DR, ORLANDO, FL, 32822",CHICKASAW ELEMENTARY,28.525652,-81.295593,250,Freedom Fresh,,Normal Geofence,
276885410,"1205 NW 4TH AVE, CHIEFLAND, 32626",CHIEFLAND ELEM SCHOOL,29.479699,-82.870514,250,Freedom Fresh,,Normal Geofence,
276885411,"808 NORTH MAIN ST, CHIEFLAND, 32626",CHIEFLAND MIDDLE/HIGH S,29.485043,-82.862513,250,Freedom Fresh,,Normal Geofence,
276883555,"87 NORTH CLARKE RD, OCOEE, FL, 34761",CITRUS ELEMENTARY,28.570834,-81.514746,250,Freedom Fresh,,Normal Geofence,
276885412,"1417 RED APPLE RD, MIDDLEBURG, 32068",CLAY CHARTER ACADEMY,30.123476,-81.859772,250,Freedom Fresh,,Normal Geofence,
276883556,"555 NORTH WEKIWA SPRINGS RD, APOPKA, FL, 32712",CLAY SPRINGS ELEMENTARY,28.688878,-81.466004,250,Freedom Fresh,,Normal Geofence,
276885413,"915 HILLCREST RD, TALLAHASSEE, 32308",COBB MIDDLE SCHOOL,30.451984,-84.267812,250,Freedom Fresh,,Normal Geofence,
276885414,"1330 SW 33RD AVE, OCALA, 34474",COLLEGE PARK ELEMENTARY,29.174316,-82.179104,250,Freedom Fresh,,Normal Geofence,
276883557,"1201 MAURY RD, ORLANDO, FL, 32804",COLLEGE PARK MIDDLE,28.584995,-81.396683,250,Freedom Fresh,,Normal Geofence,
276883558,"7775 VALENCIA COLLEGE LANE, ORLANDO, FL, 32807",COLONIAL 9TH,28.555508,-81.2832,250,Freedom Fresh,,Normal Geofence,
276883559,"6100 OLEANDER DR, ORLANDO, FL, 32807",COLONIAL HIGH,28.553681,-81.302191,250,Freedom Fresh,,Normal Geofence,
276885366,"7438 SW STATE RD 47, LAKE CITY, 32024",COLUMBIA CITY ELEMENTAR,30.080091,-82.696142,250,Freedom Fresh,,Normal Geofence,
276885367,"469 SW FIGHTING TIGER DR,US 44, LAKE CITY, 32025",COLUMBIA HIGH SCHOOL,30.148008,-82.635683,250,Freedom Fresh,,Normal Geofence,
276885416,"2400 ORANGE AVE EAST, TALLAHASSEE, 32309",CONLEY ELEMENTARY SCHOOL,30.414537,-84.222889,250,Freedom Fresh,,Normal Geofence,
276883561,"4100 LAKE MARGARET DR, ORLANDO, FL, 32812",CONWAY ELEMENTARY,28.505203,-81.334535,250,Freedom Fresh,,Normal Geofence,
276883562,"4600 ANDERSON RD, ORLANDO, FL, 32812",CONWAY MIDDLE,28.500717,-81.327756,250,Freedom Fresh,,Normal Geofence,
276883563,"1700 CHULOTA RD, ORLANDO, FL, 32820",CORNER LAKES MIDDLE,28.565104,-81.13013,250,Freedom Fresh,,Normal Geofence,
276885417,"100 KNIGHTS LANE, ST JOHNS, 32259",CREEKSIDE HIGH SCHOOL,30.08018,-81.562638,250,Freedom Fresh,,Normal Geofence,
276885418,"1205 ROBERTS RD, ST JOHNS, 32259",CUNNINGHAM CREEK,30.075784,-81.612787,250,Freedom Fresh,,Normal Geofence,
276883564,"1101 BEAR CROSSING DR, ORLANDO, FL, 32824",CYPRESS CREEK HIGH,28.381129,-81.379809,250,Freedom Fresh,,Normal Geofence,
276883565,"10401 CYPRESS SPRINGS PKWAY SOUTH, ORLANDO, FL, 32825",CYPRESS SPRINGS ELEMENTARY,28.516395,-81.235705,250,Freedom Fresh,,Normal Geofence,
276885419,"9902 DEERLAKE MIDDLE SCHOOL, TALLAHASSEE, 32312",DEERLAKE MIDDLE SCHOOL,30.608066,-84.241754,250,Freedom Fresh,,Normal Geofence,
276883566,"1356 S ECONLOCKHATCHEE TRAIL, ORLANDO, FL, 32825",DEERWOOD ELEMENTARY,28.524788,-81.254604,250,Freedom Fresh,,Normal Geofence,
276885420,"2930 VELDA DAIRY RD, TALLAHASSEE, 32308",DESOTO TRAIL ELEMENTARY,30.537572,-84.222263,250,Freedom Fresh,,Normal Geofence,
276883567,"311 N DILLARD ST, WINTER GARDEN, FL, 34787",DILLARD STREET ELEMENTARY,28.570933,-81.582327,250,Freedom Fresh,,Normal Geofence,
276883568,"601 WOODBURY RD, ORLANDO, FL, 32828",DISCOVERY MIDDLE,28.541178,-81.191995,250,Freedom Fresh,,Normal Geofence,
276885421,"17924 SE Hwy 19, CROSS CITY, 32628",DIXIE COUNTY HIGH SCHOO,29.623717,-83.107284,250,Freedom Fresh,,Normal Geofence,
276885422,"3040 NW 10TH ST, OCALA, 34475",DJJ MARION REGIONAL JUV,29.196929,-82.175094,250,Freedom Fresh,,Normal Geofence,
276885423,"4351 MAHAN DR, TALLAHASSEE, 32317",DLA-GOVERNORS CHARTER ACADMY D,30.467063,-84.204884,250,Freedom Fresh,,Normal Geofence,
276885424,"1109 FIRST AVE SE, STEINHATCHEE, 32359",DLAN -STEINHATCHEE SCHOOL,29.672998,-83.37584,250,Freedom Fresh,,Normal Geofence,
276883569,"601 N THISTLE LANE, MAITLAND, FL, 32751",DOMMERICH ELEMENTARY,28.632891,-81.34368,250,Freedom Fresh,,Normal Geofence,
276883571,"1200 GASTON FOSTER RD, ORLANDO, FL, 32812",DOVER SHORES ELEMENTARY,28.527055,-81.325598,250,Freedom Fresh,,Normal Geofence,
276883572,"6500 TURKEY LAKE RD, ORLANDO, FL, 32819",DR PHILLIPS 9TH,28.469738,-81.476878,250,Freedom Fresh,,Normal Geofence,
276883573,"6909 DR PHILLIPS BLVD, ORLANDO, FL, 32819",DR PHILLIPS ELEMENTARY,28.46175,-81.488735,250,Freedom Fresh,,Normal Geofence,
276883574,"6500 TURKEY LAKE RD, ORLANDO, FL, 32819",DR PHILLIPS HIGH,28.469738,-81.476878,250,Freedom Fresh,,Normal Geofence,
276885425,"1900 SW 5TH ST, OCALA, 34474",DR. N. H. JONES ELEMENT,29.181273,-82.157425,250,Freedom Fresh,,Normal Geofence,
276883575,"500 NORTH PARK AVE, APOPKA, FL, 32712",DREAM LAKE ELEMENTARY,28.689662,-81.509827,250,Freedom Fresh,,Normal Geofence,
276885426,"10235 SW 180TH AVE RD, DUNNELLON, 34432",DUNNELLON ELEMENTARY,29.073708,-82.418423,250,Freedom Fresh,,Normal Geofence,
276885427,"10055 SW 180TH AVE RD, DUNNELLON, 34432",DUNNELLON HIGH,29.077232,-82.414328,250,Freedom Fresh,,Normal Geofence,
276885428,"21005 CHESTNUT ST, DUNNELLON, 34432",DUNNELLON MIDDLE,29.051541,-82.467914,250,Freedom Fresh,,Normal Geofence,
276885429,"4100 RACE TRACK RD, ST JOHNS, 32259",DURBIN CREEK ELEMENTARY,30.104624,-81.552122,250,Freedom Fresh,,Normal Geofence,
276885430,"1 CHRISTOPHER ST, ST AUGUSTINE, 32084",E HAMBLEN CENTER,29.887366,-81.329274,250,Freedom Fresh,,Normal Geofence,
276883576,"10025 EAGLE CREEK SANCTUARY, ORLANDO, FL, 32832",EAGLE CREEK ELEMENTARY,28.360489,-81.239388,250,Freedom Fresh,,Normal Geofence,
276883577,"5353 METRO WEST BLVD, ORLANDO, FL, 32811",EAGLE'S NEST ELEMENTARY,28.517633,-81.453476,250,Freedom Fresh,,Normal Geofence,
276883578,"3971 NORTH TANNER RD, ORLANDO, FL, 32826",EAST LAKE ELEMENTARY,28.595531,-81.16707,250,Freedom Fresh,,Normal Geofence,
276885431,"14550 NE 14TH ST RD, SILVER SPRINGS, 34488",EAST MARION ELEMENTARY,29.200402,-81.910594,250,Freedom Fresh,,Normal Geofence,
276883579,"650 EAST RIVER FALCONS WAY, ORLANDO, FL, 32833",EAST RIVER HIGH,28.557268,-81.131014,250,Freedom Fresh,,Normal Geofence,
